vacina,doenca,idade inicial meses,idade final meses,idade inicial anos,idade final ano,doses,reforco,dose_unica,intervalo,fase da vida,observacao
Varicela (Adulto),Varicela (catapora),N/A,N/A,25,59,2,Sim,Não,N/A,Adulto,"Em casos de indisponibilidade da vacina varicela monovalente, a vacina tetraviral poderá ser utilizada. Somente indígena e trabalhador de saúde, sem histórico da doença ou na dúvida e conforme histórico vacinal"
Hepatite B (Gestante),Hepatite B; Hepatite D,N/A,N/A,N/A,N/A,3,Sim,Não,N/A,Gestante,Agendar ao saber da gravidez. 3 doses conforme histórico vacinal.
Influenza trivalente (Gestante),Influenza (gripe),N/A,N/A,N/A,N/A,3,Sim,Não,N/A,Gestante,Agendar ao saber da gravidez. 3 doses conforme histórico vacinal.
dT (Gestante),Difteria; tétano,N/A,N/A,N/A,N/A,1,Sim,Não,3653,Gestante,Agendar ao saber da gravidez. 1 dose por temporada.
Covid-19 (Gestante),Formas graves da covid-19 e óbitos,N/A,N/A,N/A,N/A,1,Sim,Não,N/A,Gestante,Agendar ao saber da gravidez. 1 dose a cada gestação.
dTpa (Gestante),Difteria; tétano; coqueluche,N/A,N/A,N/A,N/A,1,Sim,Sim,N/A,Gestante,"Agendar ao saber da gravidez. 1 dose a partir da 20ª semana gestacional, em cada gestação"
Febre amarela (Gestante),Febre amarela,N/A,N/A,N/A,N/A,1,Sim,Sim,N/A,Gestante,"Agendar ao saber da gravidez. 1 dose, em casos excepcionais, conforme histórico vacinal. A recomendação da vacinação contra a febre amarela para gestantes somente se considera na impossibilidade de adiamento, em caso de residente ou viajante para área de risco epidemiológico e mediante avaliação do serviço de saúde sobre o risco-benefício da vacinação. Neste contexto, recomenda-se 1 dose para aquelas sem comprovação vacinal, para as vacinadas com apenas 1 dose antes dos 5 anos de idade e para as que receberam apenas dose fracionada (em 2018). Em caso de viajantes, é de 10 dias o prazo mínimo para a vacinação antes da viagem, tendo em vista o tempo necessário à soroconversão."
Vírus Sincicial Respiratório VVSR (Gestante),Bronquiolite e pneumonia no bebê,N/A,N/A,N/A,N/A,1,Não,Sim,N/A,Gestante,"Agendar ao saber da gravidez. 1 dose a partir da 28ª semana gestacional, em cada gestação"
Hepatite B (Idoso),Hepatite B; Hepatite D,N/A,N/A,60,0,3,Não,Não,N/A,Idoso,3 doses (conforme histórico vacinal).
dT (Idoso),Difteria; tétano,N/A,N/A,60,0,1,Sim,Não,3653,Idoso,"3 doses (conforme histórico vacinal). Após o esquema completo (3 doses) com vacina contra difteria e tétano, é recomendado 1 dose de reforço 
a cada 10 anos com dT, antecipado para 5 anos em caso de risco de difteria ou tétano. Para profissionais de 
saúde, parteiras tradicionais e estagiários que atuam com recém-nascidos, recomenda-se a vacina dTpa. "
Febre amarela (Idoso),Febre amarela,N/A,N/A,60,0,1,Sim,Sim,N/A,Idoso,"1 dose, em casos excepcionais (conforme histórico vacinal). A vacina pode ser recomendada para esta idade apenas para não vacinados, quando há alto risco de contrair a doença e não é possível adiar a vacinação. Mas é necessário avaliação sobre a situação de saúde e as contraindicações. Isso vale para quem vive ou vai viajar para áreas com transmissão ativa. Para viajantes, a vacina deve ser tomada pelo menos 10 dias antes da viagem."
Tríplice viral SCR (Idoso),Sarampo; caxumba; rubéola; síndrome da rubéola congênita,N/A,N/A,60,0,2,Não,Não,N/A,Idoso,"Somente trabalhadores de saúde, conforme histórico vacinal."
Pneumocócica 23-valente (Idoso),Doenças pneumocócicas invasivas,N/A,N/A,60,0,2,Não,Não,N/A,Idoso,"Somente para idosos acamados e/ou institucionalizados, sem histórico vacinal, e povos indígenas sem histórico vacinal com pneumocócica conjugada."
Varicela (Idoso),Varicela (catapora),N/A,N/A,60,0,2,Não,Não,N/A,Idoso,"Somente povos indígenas e trabalhadores de saúde, que não tiveram a doença ou na dúvida, conforme histórico vacinal. Em casos de indisponibilidade da vacina varicela monovalente, a vacina tetraviral poderá ser utilizada. Somente indígena e trabalhador de saúde, sem histórico da doença ou na dúvida e conforme histórico vacinal"
Influenza trivalente (Idoso),Influenza (gripe),N/A,N/A,60,0,3,Sim,Não,N/A,Idoso,1 dose anual com a vacina da temporada.
Covid-19 (Idoso),Formas graves da covid-19 e óbitos,N/A,N/A,60,0,1,Sim,Não,N/A,Idoso,1 dose semestral.
